society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_id,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
dlf the skycourt,1.72,sector 86,8917.0,3,3,1,8.0,Relatively New,T69781942,flat,1746.0,0,0,0,0,1,1,49,"28.3986° N, 76.9384° E",28.3986,76.9384
valley view estate,1.5,gwal pahari,8278.0,4,4,3+,9.0,Old Property,F69492454,flat,2013.0,1,1,0,0,1,0,135,"28.4484° N, 77.0210° E",28.4484,77.021
independent,1.3,sector 105,11556.0,3,3,1,2.0,Moderately Old,M68603318,house,1125.0,0,0,0,0,0,0,16,"28.4952° N, 77.0114° E",28.4952,77.0114
independent,1.2,sector 12,14184.0,2,4,2,2.0,Relatively New,J67709074,house,846.0,0,0,0,1,0,1,7,"28.4723° N, 77.0320° E",28.4723,77.032
independent,0.4,sector 2,7619.0,2,2,1,1.0,Relatively New,A68153088,house,583.0,0,0,0,0,0,0,0,"28.5095° N, 77.0320° E",28.5095,77.032
independent,8.0,sector 56,9654.0,10,10,3+,4.0,Relatively New,V69476552,house,8286.0,1,1,0,1,0,2,107,"28.4245° N, 77.0991° E",28.4245,77.0991
vatika xpressions,0.92,sector 88b,7360.0,2,2,2,3.0,Relatively New,Z69531440,flat,1300.0,0,0,0,1,0,0,174,"28.4446° N, 76.9542° E",28.4446,76.9542
ild grand,1.35,sector 37c,7143.0,3,3,0,1.0,New Property,J69691190,flat,1820.0,0,0,0,0,0,0,60,"28.4515° N, 76.9882° E",28.4515,76.9882
emaar gurgaon greens,1.42,sector 102,8606.0,3,3,3,4.0,Relatively New,Z69839594,flat,1314.0,0,0,0,0,1,0,49,"28.4750° N, 76.9715° E",28.475,76.9715
dlf the ultima,3.46,sector 81,12047.0,4,4,3+,10.0,New Property,S69786590,flat,2599.0,0,1,0,0,0,2,161,"28.3867° N, 76.9485° E",28.3867,76.9485
citizen apartment,3.55,sector 51,6826.0,5,6,3+,11.0,Moderately Old,L63486746,flat,5200.0,1,1,1,1,0,1,157,"28.4320° N, 77.0686° E",28.432,77.0686
independent,0.8,sector 3,8155.0,2,4,1,2.0,Moderately Old,J55756986,house,981.0,0,0,0,0,0,0,0,"28.4909° N, 77.0176° E",28.4909,77.0176
dlf new town heights,1.75,sector 91,7403.0,4,4,3+,9.0,Relatively New,U42579919,flat,2139.0,0,1,0,1,0,0,88,"28.4014° N, 76.9225° E",28.4014,76.9225
sapphire eighty three,0.4,sector 83,8547.0,1,1,1,6.0,Relatively New,W69644442,flat,520.0,0,0,0,0,0,2,52,"28.3986° N, 76.9647° E",28.3986,76.9647
independent,0.5,sector 9,6083.0,3,2,1,1.0,Old Property,V69857066,house,822.0,0,0,0,0,0,0,0,"28.4603° N, 77.0000° E",28.4603,77.0
dlf the skycourt,1.5,sector 86,7776.0,3,3,1,15.0,Relatively New,U69308792,flat,1550.0,0,0,0,0,0,0,159,"28.3986° N, 76.9384° E",28.3986,76.9384
shree vardhman flora,1.25,sector 90,4854.0,4,5,2,8.0,Relatively New,L69230920,flat,2330.0,1,1,0,0,0,0,165,"28.4085° N, 76.9369° E",28.4085,76.9369
bestech park view city,3.0,sector 49,12589.0,4,4,3,5.0,Moderately Old,L69627884,flat,2200.0,0,1,0,1,0,1,141,"28.4121° N, 77.0480° E",28.4121,77.048
dlf the skycourt,1.55,sector 86,8031.0,3,3,3,5.0,Relatively New,P69710804,flat,1900.0,0,0,0,0,0,0,49,"28.3986° N, 76.9384° E",28.3986,76.9384
hsiidc sidco aravali,0.81,manesar,3129.0,3,3,3+,2.0,Moderately Old,M70128844,flat,1900.0,0,1,0,0,0,0,74,"28.3515° N, 76.9428° E",28.3515,76.9428
tulip violet,1.19,sector 69,8815.0,2,3,1,0.0,Relatively New,X69575972,flat,1500.0,1,0,0,0,0,1,174,"28.3966° N, 77.0341° E",28.3966,77.0341
pyramid urban,0.55,sector 67a,10516.0,2,2,2,3.0,Relatively New,W69801626,flat,581.0,0,0,0,0,0,0,73,"28.3960° N, 77.0372° E",28.396,77.0372
orris aster court,0.93,sector 85,5671.0,3,3,3,8.0,Relatively New,R69813796,flat,1587.0,0,0,0,0,0,0,0,"28.4042° N, 76.9513° E",28.4042,76.9513
signature global synera,0.49,sector 81,6667.0,2,2,3,5.0,Relatively New,R69389972,flat,700.0,0,0,0,0,0,0,117,"28.3867° N, 76.9485° E",28.3867,76.9485
central park flower valley,1.4,sector 33,21538.0,3,3,3,2.0,Under Construction,L68985938,flat,588.0,0,0,0,0,0,0,54,"28.4420° N, 77.0207° E",28.442,77.0207
tulip violet,1.36,sector 69,8619.0,3,3,2,12.0,Relatively New,Q69393568,flat,1428.0,0,0,0,1,0,1,49,"28.3966° N, 77.0341° E",28.3966,77.0341
signature global solera,0.27,sector 107,5521.0,2,2,2,0.0,Relatively New,X69217210,flat,543.0,0,0,0,0,0,0,45,"28.5052° N, 76.9729° E",28.5052,76.9729
independent,4.0,sector 23,16006.0,3,3,2,2.0,Moderately Old,B54749950,house,2430.0,0,1,0,0,0,1,115,"28.5121° N, 77.0478° E",28.5121,77.0478
unitech aspen greens,6.95,sector 50,32176.0,3,3,1,2.0,Moderately Old,C69454118,house,2160.0,0,1,0,0,0,0,160,"28.4178° N, 77.0628° E",28.4178,77.0628
vatika lifestyle homes,1.1,sector 83,6268.0,3,3,2,8.0,Relatively New,Y69590980,flat,1588.0,1,0,1,1,0,1,174,"28.3986° N, 76.9647° E",28.3986,76.9647
signature global grand iva,0.3,sector 103,8287.0,1,2,2,5.0,New Property,U69157442,flat,402.0,0,0,0,0,0,0,37,"28.4949° N, 76.9845° E",28.4949,76.9845
pivotal devaan,0.3,sector 84,6667.0,1,1,1,14.0,New Property,F68728864,flat,500.0,0,0,0,0,0,1,22,"28.3979° N, 76.9736° E",28.3979,76.9736
independent,10.85,sector 25,38150.0,6,6,1,3.0,Relatively New,U69218678,house,2844.0,0,0,1,0,0,1,136,"28.4844° N, 77.0860° E",28.4844,77.086
imperia the esfera,1.1,sector 37c,5405.0,3,4,3,9.0,Relatively New,W70042548,flat,1899.0,1,1,0,0,0,0,49,"28.4515° N, 76.9882° E",28.4515,76.9882
independent,2.5,sector 43,2885.0,7,7,3,4.0,Relatively New,E69112942,house,963.0,0,0,0,0,1,2,20,"28.4629° N, 77.0772° E",28.4629,77.0772
shree vardhman flora,0.7,sector 90,5178.0,2,3,2,7.0,Relatively New,O69730312,flat,1502.0,1,0,0,0,0,1,49,"28.4085° N, 76.9369° E",28.4085,76.9369
