society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_id,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
wings apartment,1.2,sector 9,6667.0,4,3,2,4.0,Moderately Old,X66152092,flat,2000.0,0,0,0,0,0,1,23,"28.4603° N, 77.0000° E",28.4603,77.0
independent,4.0,sector 11,19753.0,5,4,1,2.0,Moderately Old,U68068324,house,2025.0,0,0,0,0,0,0,0,"28.4531° N, 77.0202° E",28.4531,77.0202
vatika inxt floors,0.75,sector 82a,7500.0,2,2,2,1.0,Relatively New,I68426572,flat,1000.0,0,0,0,0,0,0,0,"28.3858° N, 76.9686° E",28.3858,76.9686
vatika sovereign next,3.85,sector 82a,7500.0,5,6,3+,6.0,Relatively New,O69258128,house,5140.0,0,0,0,0,0,0,53,"28.3858° N, 76.9686° E",28.3858,76.9686
emaar imperial gardens,1.98,sector 102,9900.0,3,3,3+,9.0,Relatively New,M69068068,flat,2222.0,0,1,0,0,0,1,72,"28.4750° N, 76.9715° E",28.475,76.9715
independent,1.52,sector 17a,19869.0,2,2,1,1.0,Old Property,W62127086,house,105.0,0,0,0,0,0,0,22,"28.4785° N, 77.0600° E",28.4785,77.06
sare petioles,1.3,sector 92,6373.0,4,4,0,7.0,Relatively New,C69192320,flat,2040.0,0,0,0,0,0,0,0,"28.4079° N, 76.9153° E",28.4079,76.9153
nirvana cedar crest,3.99,sector 50,8867.0,4,5,3+,4.0,New Property,T69882738,house,4500.0,0,1,0,1,0,1,112,"28.4178° N, 77.0628° E",28.4178,77.0628
independent,9.0,sector 28,27778.0,6,7,3+,3.0,Moderately Old,E69552472,house,3240.0,1,1,1,1,0,0,67,"28.4728° N, 77.0865° E",28.4728,77.0865
indiabulls centrum park,2.36,sector 103,9183.0,4,6,3+,8.0,Relatively New,B69312092,flat,2729.0,0,1,0,0,0,1,159,"28.4949° N, 76.9845° E",28.4949,76.9845
unitech uniworld resorts,9.5,sector 33,19333.0,6,6,3+,3.0,Moderately Old,Z70123946,house,4914.0,0,0,0,0,0,1,40,"28.4420° N, 77.0207° E",28.442,77.0207
imperia the esfera,0.99,sector 37c,5455.0,3,4,3,9.0,Relatively New,E70042222,flat,1660.0,0,1,0,0,0,0,49,"28.4515° N, 76.9882° E",28.4515,76.9882
independent,1.5,sector 13,10519.0,2,2,2,3.0,Old Property,O69220384,house,1426.0,1,0,0,1,0,0,7,"28.4757° N, 77.0392° E",28.4757,77.0392
ireo the corridors,1.4,sector 67a,9434.0,2,2,2,8.0,Relatively New,X69328048,flat,1149.0,1,0,0,0,1,0,90,"28.3960° N, 77.0372° E",28.396,77.0372
pyramid urban,0.7,sector 67a,11844.0,2,2,1,14.0,New Property,K57042012,flat,657.0,0,0,0,0,0,0,44,"28.3960° N, 77.0372° E",28.396,77.0372
independent,3.5,sector 24,32407.0,2,4,3,3.0,Old Property,F59524312,house,1080.0,0,0,0,0,0,0,15,"28.4939° N, 77.1038° E",28.4939,77.1038
ss the leaf,1.05,sector 85,6162.0,2,2,3+,7.0,Relatively New,G66846598,flat,1512.0,0,0,1,0,0,0,144,"28.4042° N, 76.9513° E",28.4042,76.9513
smart world gems,0.95,sector 89,8597.0,2,2,2,4.0,New Property,R69024308,flat,1226.0,1,1,0,0,0,0,38,"28.4253° N, 76.9439° E",28.4253,76.9439
m3m woodshire,1.01,sector 107,7394.0,2,2,3+,11.0,New Property,P22187629,flat,1200.0,0,0,0,0,1,0,74,"28.5052° N, 76.9729° E",28.5052,76.9729
signature andour heights,0.65,sector 71,10172.0,2,2,1,10.0,Relatively New,U70026016,flat,590.0,0,0,0,0,0,1,23,"28.4104° N, 77.0281° E",28.4104,77.0281
emaar mgf the palm drive,3.5,sector 66,16471.0,3,4,3,6.0,Relatively New,H69848390,flat,2150.0,0,1,0,0,0,0,68,"28.3925° N, 77.0541° E",28.3925,77.0541
signature global city 81,0.8,sector 81,14652.0,2,2,2,4.0,Under Construction,F63180576,flat,607.0,1,0,0,0,0,0,36,"28.3867° N, 76.9485° E",28.3867,76.9485
unitech espace,11.29,sector 50,34846.0,5,5,3+,2.0,Moderately Old,N69179202,house,3240.0,1,0,0,1,0,0,21,"28.4178° N, 77.0628° E",28.4178,77.0628
ss the leaf,1.3,sector 85,7927.0,2,2,2,17.0,New Property,I49614764,flat,1484.0,0,0,0,0,0,0,90,"28.4042° N, 76.9513° E",28.4042,76.9513
independent,3.6,sector 57,20833.0,4,4,2,2.0,Old Property,P70155616,house,1728.0,1,1,1,1,0,0,110,"28.4232° N, 77.0752° E",28.4232,77.0752
bestech park view city,2.65,sector 48,10323.0,4,4,3+,11.0,Moderately Old,Z69696264,flat,2134.0,1,1,0,0,0,1,174,"28.4177° N, 77.0359° E",28.4177,77.0359
ats tourmaline,1.45,sector 109,6744.0,3,4,3+,4.0,Relatively New,D64898286,flat,1797.0,0,1,0,0,0,0,71,"28.5073° N, 77.0089° E",28.5073,77.0089
independent,13.2,sector 50,27155.0,6,6,0,2.0,Moderately Old,H69535654,house,4861.0,0,0,0,0,0,0,0,"28.4178° N, 77.0628° E",28.4178,77.0628
independent,8.0,sector 27,26298.0,9,9,3,4.0,Relatively New,R69688626,house,3042.0,1,1,1,1,0,2,110,"28.4658° N, 77.0917° E",28.4658,77.0917
antriksh heights,0.88,sector 84,4822.0,3,3,3,16.0,Relatively New,B69994018,flat,1652.0,0,0,0,1,0,0,67,"28.3979° N, 76.9736° E",28.3979,76.9736
independent,5.0,sector 40,21124.0,9,9,3+,3.0,Relatively New,Y69472158,house,2367.0,0,0,0,1,0,1,66,"28.4498° N, 77.0567° E",28.4498,77.0567
green court,0.45,sector 90,7188.0,2,2,1,2.0,New Property,M68470638,flat,696.0,0,0,0,0,0,1,42,"28.4085° N, 76.9369° E",28.4085,76.9369
la vida by tata housing,1.35,sector 113,13990.0,2,2,3,10.0,New Property,W68450138,flat,1090.0,0,0,0,0,0,0,174,"28.5287° N, 77.0233° E",28.5287,77.0233
vatika city homes,1.05,sector 83,8571.0,3,3,3,8.0,Moderately Old,D60670642,flat,1468.0,0,0,0,1,0,1,103,"28.3986° N, 76.9647° E",28.3986,76.9647
m3m heights,2.29,sector 65,15980.0,2,2,3,8.0,Under Construction,Z68221306,flat,1592.0,1,0,0,0,0,0,15,"28.4030° N, 77.0690° E",28.403,77.069
dlf the ultima,2.35,sector 81,11175.0,3,3,3+,14.0,Relatively New,N70068566,flat,1550.0,1,1,0,1,1,2,49,"28.3867° N, 76.9485° E",28.3867,76.9485
millenia,0.4,sector 37c,6667.0,2,2,2,4.0,New Property,V56135054,flat,667.0,0,0,0,0,0,0,29,"28.4515° N, 76.9882° E",28.4515,76.9882
m3m golfestate,5.5,sector 65,16960.0,3,4,3,3.0,Relatively New,K68231824,flat,2803.0,0,1,0,0,0,0,49,"28.4030° N, 77.0690° E",28.403,77.069
m3m skycity,2.8,sector 65,15317.0,3,3,0,14.0,Relatively New,Y68022268,flat,1828.0,0,0,0,0,0,0,39,"28.4030° N, 77.0690° E",28.403,77.069
whiteland the aspen,3.35,sector 76,17613.0,3,4,3+,5.0,Under Construction,A69585100,flat,2111.0,0,1,0,0,0,2,151,"28.3935° N, 76.9888° E",28.3935,76.9888
shri banke bihari society,1.35,sector 56,9643.0,3,3,3+,4.0,Old Property,S69469250,flat,1450.0,0,0,0,0,1,1,174,"28.4245° N, 77.0991° E",28.4245,77.0991
bestech park view ananda,0.95,sector 81,6985.0,2,2,2,14.0,Relatively New,G69311146,flat,1260.0,0,0,0,0,0,1,165,"28.3867° N, 76.9485° E",28.3867,76.9485
shree vardhman victoria,1.63,sector 70,8359.0,3,3,3,5.0,New Property,W69217906,flat,1527.0,0,1,0,0,1,0,49,"28.3968° N, 77.0233° E",28.3968,77.0233
zara aavaas,0.2,sector 104,6645.0,1,2,2,3.0,New Property,F56269788,flat,334.0,0,0,0,0,0,0,67,"28.4788° N, 76.9960° E",28.4788,76.996
vatika the seven lamps,1.6,sector 82,6598.0,4,4,3+,16.0,Moderately Old,Z69276224,house,2425.0,0,1,0,0,0,0,94,"28.3935° N, 76.9600° E",28.3935,76.96
conscient heritage max,1.82,sector 102,9010.0,3,4,3+,12.0,Relatively New,N69573174,flat,1757.0,0,1,0,0,0,0,101,"28.4750° N, 76.9715° E",28.475,76.9715
greenopolis,0.65,sector 89,5196.0,2,2,2,15.0,Under Construction,F69279446,flat,1390.0,0,0,0,0,0,0,37,"28.4253° N, 76.9439° E",28.4253,76.9439
godrej nature plus,1.25,sector 33,9025.0,2,2,3,17.0,Under Construction,W69238500,flat,1385.0,0,0,0,0,0,0,56,"28.4420° N, 77.0207° E",28.442,77.0207
ss the leaf,1.2,sector 85,7317.0,2,2,3,12.0,Relatively New,M69406586,flat,1484.0,0,0,0,0,0,1,157,"28.4042° N, 76.9513° E",28.4042,76.9513
independent,0.66,sector 6,10784.0,3,2,1,2.0,Old Property,T69242450,house,612.0,0,0,0,0,0,0,36,"28.4745° N, 77.0262° E",28.4745,77.0262
dlf city plots phase 3,1.6,sector 24,3292.0,8,5,3+,4.0,Old Property,N61562702,house,540.0,0,0,0,0,0,0,8,"28.4939° N, 77.1038° E",28.4939,77.1038
tulip violet,2.05,sector 69,9951.0,4,4,2,0.0,Relatively New,N69721252,flat,1889.0,0,0,0,0,0,0,157,"28.3966° N, 77.0341° E",28.3966,77.0341
m3m skywalk,1.54,sector 74,10815.0,2,2,3+,15.0,Relatively New,M69704330,flat,1200.0,0,0,0,0,1,0,137,"28.4158° N, 77.0118° E",28.4158,77.0118
tulip ivory,2.0,sector 70,8333.0,4,5,3+,7.0,Moderately Old,T68593666,flat,2169.0,0,1,0,0,0,1,174,"28.3968° N, 77.0233° E",28.3968,77.0233
surendra avenue 69,0.75,sector 69,6818.0,2,2,2,4.0,Moderately Old,W69007956,flat,1100.0,0,0,0,0,0,0,0,"28.3966° N, 77.0341° E",28.3966,77.0341
sare homes,0.65,sector 92,4587.0,3,3,2,3.0,Relatively New,N69919756,flat,1574.0,0,0,0,0,0,0,6,"28.4079° N, 76.9153° E",28.4079,76.9153
m3m woodshire,0.9,sector 107,6589.0,2,2,3+,4.0,Relatively New,S70122896,flat,1236.0,0,0,0,0,0,0,21,"28.5052° N, 76.9729° E",28.5052,76.9729
ss the leaf,1.77,sector 85,7350.0,3,4,3+,7.0,New Property,P66846646,flat,2179.0,0,0,1,0,0,0,107,"28.4042° N, 76.9513° E",28.4042,76.9513
puri diplomatic greens,2.25,sector 111,13235.0,3,3,2,12.0,Relatively New,R69578844,flat,1538.0,0,0,0,0,0,0,101,"28.5238° N, 77.0320° E",28.5238,77.032
la vida by tata housing,1.85,sector 113,11716.0,3,2,2,7.0,New Property,F68295166,flat,1429.0,0,0,0,0,0,0,13,"28.5287° N, 77.0233° E",28.5287,77.0233
umang winter hills,1.2,sector 77,6586.0,3,3,3,14.0,Relatively New,S69814050,flat,1822.0,0,0,0,0,0,0,46,"28.3801° N, 76.9845° E",28.3801,76.9845
godrej summit,0.82,sector 104,9856.0,2,2,3,12.0,Relatively New,Z68982730,flat,86.0,1,0,0,0,0,0,120,"28.4788° N, 76.9960° E",28.4788,76.996
greenopolis,0.7,sector 89,5397.0,2,2,2,14.0,New Property,A67904302,house,1297.0,0,0,0,0,0,0,0,"28.4253° N, 76.9439° E",28.4253,76.9439
ireo victory valley,3.49,sector 67,12998.0,3,3,3,19.0,Relatively New,Y66191024,flat,2724.0,0,1,0,0,0,0,103,"28.3859° N, 77.0608° E",28.3859,77.0608
experion windchants,4.75,sector 112,12623.0,3,5,3+,4.0,Relatively New,B70095602,flat,3405.0,0,1,0,0,0,1,42,"28.5189° N, 77.0183° E",28.5189,77.0183
experion the heartsong,1.36,sector 108,6542.0,3,2,3+,2.0,Relatively New,J60561956,flat,1343.0,1,1,0,0,0,1,77,"28.5134° N, 76.9830° E",28.5134,76.983
chd avenue,1.2,sector 71,7407.0,3,3,3,4.0,Relatively New,N69115998,flat,1466.0,0,0,0,0,1,1,49,"28.4104° N, 77.0281° E",28.4104,77.0281
corona optus,1.25,sector 37c,7176.0,3,3,3,2.0,Relatively New,X70044746,flat,1563.0,1,0,0,0,0,0,49,"28.4515° N, 76.9882° E",28.4515,76.9882
tulip violet,1.66,sector 69,10134.0,3,3,2,0.0,Relatively New,R69722710,flat,1482.0,0,0,0,0,0,0,157,"28.3966° N, 77.0341° E",28.3966,77.0341
greenopolis,0.9,sector 89,4700.0,3,3,0,14.0,Under Construction,I19370017,flat,1910.0,0,0,0,0,0,0,67,"28.4253° N, 76.9439° E",28.4253,76.9439
mapsko mount ville,1.25,sector 79,8389.0,3,3,3,22.0,Relatively New,B69665358,flat,1154.0,1,0,0,1,0,0,160,"28.3624° N, 76.9787° E",28.3624,76.9787
dlf regency park,1.91,sector 28,16609.0,2,2,2,11.0,New Property,B68992854,flat,1278.0,0,0,0,0,0,2,98,"28.4728° N, 77.0865° E",28.4728,77.0865
ambience creacions,6.16,sector 22,20533.0,4,5,3+,10.0,New Property,I68793680,flat,3333.0,0,1,0,1,0,1,49,"28.5072° N, 77.0640° E",28.5072,77.064
dlf regal gardens,1.13,sector 90,6647.0,3,3,3+,8.0,Relatively New,S44698755,flat,1566.0,0,0,0,0,1,0,72,"28.4085° N, 76.9369° E",28.4085,76.9369
dlf park place,4.85,sector 54,25867.0,3,4,3+,25.0,Relatively New,Z69409012,flat,1875.0,0,1,0,0,0,1,26,"28.4348° N, 77.1089° E",28.4348,77.1089
dlf city plots phase 2,6.5,sector 25,33592.0,3,9,3+,3.0,Old Property,J68736140,house,1935.0,1,1,1,1,0,1,142,"28.4844° N, 77.0860° E",28.4844,77.086
vipul tatvam villa,22.0,sector 48,26667.0,5,6,3,3.0,Moderately Old,F66657698,house,8250.0,0,1,0,0,0,0,54,"28.4177° N, 77.0359° E",28.4177,77.0359
ss aaron ville,6.75,sector 49,15000.0,5,4,2,2.0,New Property,J68210970,house,4500.0,0,0,0,0,1,0,49,"28.4121° N, 77.0480° E",28.4121,77.048
spaze privy,3.09,sector 72,6981.0,5,5,3+,14.0,Relatively New,W67904058,house,3653.0,0,1,0,0,0,1,33,"28.4225° N, 77.0211° E",28.4225,77.0211
independent,13.5,sector 26,29880.0,5,5,3+,2.0,Relatively New,T70094424,house,4518.0,1,1,0,1,1,2,49,"28.4757° N, 77.1032° E",28.4757,77.1032
kw royal court,2.0,sector 39,6250.0,5,4,3,9.0,Old Property,U69795940,flat,3556.0,0,1,0,0,0,2,49,"28.4434° N, 77.0515° E",28.4434,77.0515
dlf new town heights,1.2,sector 90,6218.0,3,3,3+,8.0,Moderately Old,T54190560,flat,2144.0,0,1,0,1,0,0,59,"28.4085° N, 76.9369° E",28.4085,76.9369
madhur jeevan apartments,1.59,sector 56,8595.0,4,3,3+,3.0,Old Property,E69442206,flat,1900.0,0,0,0,0,1,1,33,"28.4245° N, 77.0991° E",28.4245,77.0991
emaar digihomes,4.25,sector 62,26562.0,3,3,3,8.0,Under Construction,J68201818,flat,1600.0,1,0,0,0,0,0,16,"28.4139° N, 77.0886° E",28.4139,77.0886
emaar mgf the palm drive,2.8,sector 66,16471.0,3,4,3,8.0,Relatively New,O61384382,flat,1700.0,0,1,0,0,0,1,117,"28.3925° N, 77.0541° E",28.3925,77.0541
ats tourmaline,1.5,sector 109,6977.0,3,4,3+,4.0,Relatively New,D68008938,flat,1797.0,0,1,0,0,0,0,39,"28.5073° N, 77.0089° E",28.5073,77.0089
dlf regal gardens,1.19,sector 90,5504.0,3,3,2,11.0,Relatively New,I44651309,flat,1562.0,0,0,0,0,1,0,88,"28.4085° N, 76.9369° E",28.4085,76.9369
smart world gems,1.1,sector 89,9973.0,3,1,0,0.0,New Property,T69796666,flat,1103.0,0,0,0,0,0,0,45,"28.4253° N, 76.9439° E",28.4253,76.9439
bptp terra,1.4,sector 37d,7731.0,3,3,3,5.0,Relatively New,B70095032,flat,1711.0,0,0,0,0,0,1,149,"28.4478° N, 76.9703° E",28.4478,76.9703
umang monsoon breeze,1.05,sector 78,5666.0,3,3,3,6.0,Moderately Old,D67904324,flat,1853.0,0,0,0,0,0,0,0,"28.3733° N, 76.9729° E",28.3733,76.9729
emaar palm gardens,1.76,sector 83,9263.0,3,3,3,5.0,Relatively New,M69824034,flat,1600.0,0,1,0,0,0,1,174,"28.3986° N, 76.9647° E",28.3986,76.9647
independent,3.25,sector 31,22429.0,4,4,3+,3.0,Moderately Old,I69805104,house,1449.0,1,1,1,1,0,1,29,"28.4528° N, 77.0498° E",28.4528,77.0498
m3m woodshire,1.35,sector 107,5718.0,3,4,3+,8.0,Relatively New,L57828948,flat,1950.0,0,1,0,0,0,1,74,"28.5052° N, 76.9729° E",28.5052,76.9729
antriksh heights,1.02,sector 84,4869.0,4,4,3+,11.0,Relatively New,K67426782,flat,1896.0,0,1,0,1,0,0,99,"28.3979° N, 76.9736° E",28.3979,76.9736
raheja vedaanta,1.0,sector 108,4854.0,2,2,2,0.0,Relatively New,L70031164,flat,2060.0,0,0,0,0,0,0,0,"28.5134° N, 76.9830° E",28.5134,76.983
ireo the corridors,1.6,sector 67a,9265.0,3,3,2,3.0,New Property,V69440184,flat,1346.0,0,0,1,0,0,1,142,"28.3960° N, 77.0372° E",28.396,77.0372
godrej nature plus,1.7,sector 33,12593.0,3,3,3+,6.0,New Property,B69894858,flat,1500.0,0,1,0,0,0,0,38,"28.4420° N, 77.0207° E",28.442,77.0207
eros rosewood villas,2.75,sector 49,19841.0,3,3,1,2.0,Old Property,T69768202,house,1386.0,0,0,0,0,1,1,80,"28.4121° N, 77.0480° E",28.4121,77.048
bsf chs,0.95,gwal pahari,5938.0,3,3,3,13.0,Old Property,U69738586,flat,1778.0,0,0,0,0,0,0,37,"28.4484° N, 77.0210° E",28.4484,77.021
independent,0.35,sector 9,9722.0,2,2,1,2.0,Old Property,A68535224,house,360.0,0,0,0,0,0,0,0,"28.4603° N, 77.0000° E",28.4603,77.0
sobha city,2.33,sector 108,14463.0,3,3,3,17.0,Relatively New,U69326196,flat,1711.0,0,0,1,0,0,1,159,"28.5134° N, 76.9830° E",28.5134,76.983
sare green parc phase 3,0.95,sector 92,4857.0,4,3,3,4.0,Moderately Old,G69127412,flat,1770.0,0,0,0,0,0,0,67,"28.4079° N, 76.9153° E",28.4079,76.9153
raheja vedaanta,0.8,sector 108,4080.0,3,3,3,9.0,Relatively New,K67112032,flat,1663.0,0,0,0,1,0,0,174,"28.5134° N, 76.9830° E",28.5134,76.983
bhawna cghs,3.25,sector 43,10156.0,4,4,3+,12.0,Moderately Old,Q68795508,flat,3115.0,0,0,0,1,0,1,119,"28.4629° N, 77.0772° E",28.4629,77.0772
emaar palm gardens,1.75,sector 83,9211.0,3,3,3+,11.0,Relatively New,I69881898,flat,1549.0,0,1,0,0,0,0,120,"28.3986° N, 76.9647° E",28.3986,76.9647
vatika gurgaon,1.15,sector 83,5808.0,3,3,2,3.0,Relatively New,L68896498,flat,1350.0,1,1,1,1,0,1,165,"28.3986° N, 76.9647° E",28.3986,76.9647
the close north,2.65,sector 50,11277.0,3,3,3+,3.0,Moderately Old,G69221508,flat,2491.0,0,1,0,0,0,0,174,"28.4178° N, 77.0628° E",28.4178,77.0628
bestech park view residency,1.59,sector 2,8281.0,3,4,3+,11.0,Moderately Old,Y70072452,flat,1738.0,0,1,0,0,0,0,100,"28.5095° N, 77.0320° E",28.5095,77.032
independent,0.7,sector 12,4118.0,4,4,1,2.0,Moderately Old,C69983014,house,1700.0,0,0,0,0,0,0,0,"28.4723° N, 77.0320° E",28.4723,77.032
huda housing board colony,4.6,sector 31,31507.0,2,4,3+,3.0,Old Property,J68546094,house,1460.0,0,0,0,0,1,0,8,"28.4528° N, 77.0498° E",28.4528,77.0498
shri balaji apartment,0.35,sector 12,4037.0,2,2,1,1.0,Moderately Old,V39804453,flat,737.0,0,0,0,0,0,0,23,"28.4723° N, 77.0320° E",28.4723,77.032
independent,20.0,sector 26,44444.0,5,7,3+,3.0,Relatively New,T69775462,house,4500.0,0,1,0,1,0,2,97,"28.4757° N, 77.1032° E",28.4757,77.1032
dlf new town heights,1.3,sector 90,6736.0,3,3,3+,10.0,Relatively New,I69266172,flat,1929.0,0,1,0,1,0,1,129,"28.4085° N, 76.9369° E",28.4085,76.9369
ats tourmaline,1.4,sector 109,8000.0,3,3,3+,12.0,Relatively New,W50058892,flat,1584.0,0,0,0,0,1,0,65,"28.5073° N, 77.0089° E",28.5073,77.0089
experion windchants,3.65,sector 112,11428.0,3,5,2,3.0,Relatively New,N63226738,flat,2800.0,0,1,0,0,0,0,72,"28.5189° N, 77.0183° E",28.5189,77.0183
tulip yellow,2.95,sector 69,16389.0,4,3,2,3.0,New Property,D68552526,house,1800.0,0,0,0,1,1,2,111,"28.3966° N, 77.0341° E",28.3966,77.0341
ss the leaf,1.78,sector 85,7392.0,3,4,3+,6.0,New Property,U66846626,flat,2179.0,0,0,1,0,0,0,113,"28.4042° N, 76.9513° E",28.4042,76.9513
independent,5.25,sector 47,11667.0,9,9,3+,4.0,Relatively New,P70368292,house,4650.0,0,1,0,0,0,1,142,"28.4276° N, 77.0492° E",28.4276,77.0492
emaar palm gardens,1.8,sector 83,9474.0,3,3,3,6.0,Relatively New,K69430594,flat,1549.0,0,1,0,0,0,1,97,"28.3986° N, 76.9647° E",28.3986,76.9647
independent,1.8,sector 15,10000.0,4,3,1,1.0,Old Property,F55730248,house,1800.0,0,0,0,0,0,0,16,"28.4621° N, 77.0464° E",28.4621,77.0464
bptp terra,1.98,sector 37d,9037.0,3,3,3+,12.0,New Property,Q70028830,flat,1983.0,1,0,0,0,0,1,49,"28.4478° N, 76.9703° E",28.4478,76.9703
unitech greenwood city,2.4,sector 45,12346.0,3,3,2,1.0,New Property,G69464840,flat,195.0,0,1,0,0,0,1,19,"28.4466° N, 77.0660° E",28.4466,77.066
spaze privy,1.9,sector 72,9620.0,3,3,3,10.0,Relatively New,T69753598,flat,1975.0,0,0,0,0,0,0,0,"28.4225° N, 77.0211° E",28.4225,77.0211
m3m woodshire,1.65,sector 107,5961.0,4,5,3+,12.0,Relatively New,I68360600,flat,2505.0,0,1,0,0,0,0,21,"28.5052° N, 76.9729° E",28.5052,76.9729
emaar emerald hills,12.5,sector 65,34722.0,4,4,3+,2.0,Relatively New,P69832028,house,3600.0,1,1,0,0,0,0,56,"28.4030° N, 77.0690° E",28.403,77.069
independent,3.15,sector 57,20349.0,5,4,3+,2.0,Moderately Old,H70267206,house,1548.0,0,0,1,0,0,1,60,"28.4232° N, 77.0752° E",28.4232,77.0752
independent,6.46,sector 14,18889.0,5,5,2,3.0,Moderately Old,W69298002,house,3420.0,1,1,0,1,0,1,27,"28.4711° N, 77.0454° E",28.4711,77.0454
signature global solera,0.52,sector 107,8062.0,3,2,2,5.0,Relatively New,K69308884,flat,717.0,0,0,0,0,1,0,15,"28.5052° N, 76.9729° E",28.5052,76.9729
indiabulls centrum park,1.65,sector 103,8250.0,3,3,3+,15.0,Relatively New,V69886138,flat,1683.0,1,0,0,0,0,0,38,"28.4949° N, 76.9845° E",28.4949,76.9845
alpha corp gurgaonone,1.49,sector 84,7590.0,3,3,3,6.0,Relatively New,A69430888,flat,1833.0,0,1,0,0,0,0,28,"28.3979° N, 76.9736° E",28.3979,76.9736
independent,8.0,sector 57,29630.0,5,4,3,2.0,Relatively New,F70269238,house,2700.0,1,1,0,1,0,0,21,"28.4232° N, 77.0752° E",28.4232,77.0752
independent,2.6,sector 24,24074.0,4,4,3+,4.0,Relatively New,Y61487770,house,1080.0,1,0,1,1,0,2,0,"28.4939° N, 77.1038° E",28.4939,77.1038
hero homes,1.35,sector 104,9568.0,3,2,2,18.0,New Property,V69363310,flat,1094.0,0,0,0,0,0,0,49,"28.4788° N, 76.9960° E",28.4788,76.996
smart world orchard,1.47,sector 61,12250.0,2,2,2,2.0,Under Construction,S68849476,flat,1333.0,1,0,0,0,0,0,76,"28.4050° N, 77.0963° E",28.405,77.0963
ss the leaf,2.0,sector 85,8306.0,3,4,3,8.0,Relatively New,G69751862,flat,2179.0,0,1,0,0,0,0,21,"28.4042° N, 76.9513° E",28.4042,76.9513
experion the heartsong,0.98,sector 108,13351.0,2,3,3,4.0,Relatively New,P69721330,flat,978.23,1,0,0,0,0,0,135,"28.5134° N, 76.9830° E",28.5134,76.983
dlf new town heights,2.5,sector 86,7827.0,4,5,3+,4.0,Moderately Old,P68426542,house,3194.0,0,1,0,1,1,1,49,"28.3986° N, 76.9384° E",28.3986,76.9384
mapsko mount ville,1.65,sector 79,9091.0,3,3,0,12.0,Relatively New,S69041162,flat,1815.0,0,0,0,0,0,0,0,"28.3624° N, 76.9787° E",28.3624,76.9787
unitech vistas,0.53,sector 70,4801.0,2,2,2,9.0,Under Construction,F31622943,flat,991.0,0,0,0,0,1,0,24,"28.3968° N, 77.0233° E",28.3968,77.0233
imperia the esfera,0.7,sector 37c,4878.0,2,3,3+,12.0,Under Construction,O34919717,flat,1299.0,1,0,0,0,1,0,58,"28.4515° N, 76.9882° E",28.4515,76.9882
dlf regal gardens,1.78,sector 90,8036.0,4,4,3+,8.0,Relatively New,O69621840,flat,2000.0,0,0,0,0,0,0,126,"28.4085° N, 76.9369° E",28.4085,76.9369
divya apartments,0.6,sector 6,7595.0,2,2,0,2.0,Relatively New,T60102856,flat,790.0,0,0,0,0,0,1,15,"28.4745° N, 77.0262° E",28.4745,77.0262
bestech park view grand spa,2.25,sector 81,8459.0,3,4,3+,8.0,Relatively New,Y69455236,flat,2300.0,1,1,1,0,0,1,122,"28.3867° N, 76.9485° E",28.3867,76.9485
independent,5.65,sector 23,17706.0,7,7,3+,2.0,Moderately Old,S49137769,house,5000.0,0,1,0,1,0,0,68,"28.5121° N, 77.0478° E",28.5121,77.0478
dlf the primus,1.59,sector 82a,10338.0,3,3,3+,5.0,Relatively New,D69723428,flat,1668.0,0,0,0,0,1,2,167,"28.3858° N, 76.9686° E",28.3858,76.9686
emaar gurgaon greens,1.45,sector 102,8788.0,3,3,2,7.0,Relatively New,T69411388,flat,1493.0,0,1,0,0,0,1,169,"28.4750° N, 76.9715° E",28.475,76.9715
hsiidc sidco aravali,0.91,manesar,3516.0,3,3,3+,8.0,Moderately Old,W68198838,flat,1900.0,0,1,0,0,0,0,23,"28.3515° N, 76.9428° E",28.3515,76.9428
sidhartha ncr one phase,0.6,sector 95,4800.0,2,2,3,10.0,New Property,X69692376,flat,1250.0,0,0,0,0,0,0,0,"28.4172° N, 76.9081° E",28.4172,76.9081
ansal api esencia,5.46,sector 67,24170.0,4,5,3+,2.0,Relatively New,J69714706,house,2259.0,1,0,1,1,0,1,103,"28.3859° N, 77.0608° E",28.3859,77.0608
chd avenue,1.32,sector 71,6019.0,4,4,3,14.0,Moderately Old,D69662880,flat,1985.0,0,1,0,0,0,0,65,"28.4104° N, 77.0281° E",28.4104,77.0281
experion windchants,3.4,sector 112,12134.0,3,3,2,14.0,Relatively New,C68670422,flat,2225.56,0,0,0,0,0,1,159,"28.5189° N, 77.0183° E",28.5189,77.0183
nbcc heights,0.75,sector 89,6579.0,2,2,2,6.0,Moderately Old,R69736118,flat,1032.0,0,0,0,0,0,0,0,"28.4253° N, 76.9439° E",28.4253,76.9439
ireo victory valley,8.0,sector 67,22222.0,6,7,3+,51.0,Moderately Old,B69710388,house,3600.0,1,1,0,1,0,1,49,"28.3859° N, 77.0608° E",28.3859,77.0608
vatika gurgaon,1.42,sector 83,8875.0,4,4,3,7.0,Relatively New,V65295042,flat,2000.0,1,1,0,0,0,0,103,"28.3986° N, 76.9647° E",28.3986,76.9647
